delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,0.000105207,2,130,GO:0042307;GO:1904591,positive regulation of protein import,0.007157939,,GO:0042307,GO:1904591,,,,,,,,
0,0.000105046,4,69,GO:0043403,skeletal muscle tissue regeneration,0.007157939,,GO:0043403,,,,,,,,,
0,0.000105207,2,130,GO:0043967,histone H4 acetylation,0.007157939,,GO:0043967,,,,,,,,,
0,0.000112297,3,928,GO:0014706;GO:0060537,muscle tissue development,0.007584169,,GO:0014706,GO:0060537,,,,,,,,
0,0.00011482,2,943,GO:0045785,positive regulation of cell adhesion,0.007697964,,GO:0045785,,,,,,,,,
0,0.000117311,2,15,GO:0033622,integrin activation,0.007751784,,GO:0033622,,,,,,,,,
0,0.000117311,2,15,GO:0044854;GO:0044857,plasma membrane raft assembly,0.007751784,,GO:0044854,GO:0044857,,,,,,,,
0,0.000122908,2,313,GO:0010811,positive regulation of cell-substrate adhesion,0.008063643,,GO:0010811,,,,,,,,,
0,0.000134767,2,120,GO:0032963,collagen metabolic process,0.008717148,,GO:0032963,,,,,,,,,
0,0.000144137,2,652,GO:0032872;GO:0070302;GO:0046328,regulation of stress-activated protein kinase signaling cascade,0.00919955,,GO:0032872,GO:0070302,GO:0046328,,,,,,,
0,0.000146231,2,23,GO:0046653,tetrahydrofolate metabolic process,0.00919955,,GO:0046653,,,,,,,,,
0,0.000145144,2,1992,GO:0051129,negative regulation of cellular component organization,0.00919955,,GO:0051129,,,,,,,,,
0,0.000146231,7,23,GO:1901897,regulation of relaxation of cardiac muscle,0.00919955,,GO:1901897,,,,,,,,,
0,0.000149287,2,2541,GO:0030334;GO:2000145;GO:0051270,regulation of cellular component movement,0.009269719,,GO:0030334,GO:2000145,GO:0051270,,,,,,,
0,0.000149365,3,589,GO:0046578,regulation of Ras protein signal transduction,0.009269719,,GO:0046578,,,,,,,,,
0,0.00015319,8,12,GO:0043045;GO:1901538;GO:0090116,DNA methylation involved in embryo development,0.009380365,,GO:0043045,GO:1901538,GO:0090116,,,,,,,
0,0.00015319,3,12,GO:0043570,maintenance of DNA repeat elements,0.009380365,,GO:0043570,,,,,,,,,
0,0.000168674,2,397,GO:1901605,alpha-amino acid metabolic process,0.010260061,,GO:1901605,,,,,,,,,
0,0.000171663,3,213,GO:0007266,Rho protein signal transduction,0.010373202,,GO:0007266,,,,,,,,,
0,0.000178481,2,61,GO:0060314,regulation of ryanodine-sensitive calcium-release channel activity,0.010698453,,GO:0060314,,,,,,,,,
0,0.000179375,2,391,GO:0071824,protein-DNA complex subunit organization,0.010698453,,GO:0071824,,,,,,,,,
0,0.000183405,3,656,GO:0051495;GO:1902905,positive regulation of cytoskeleton organization,0.010868235,,GO:0051495,GO:1902905,,,,,,,,
0,0.000185233,3,77,GO:0000096,sulfur amino acid metabolic process,0.010906193,,GO:0000096,,,,,,,,,
0,0.000198546,4,208,GO:0009062;GO:0072329,monocarboxylic acid catabolic process,0.011615588,,GO:0009062,GO:0072329,,,,,,,,
0,0.000201927,1,947,GO:0051098,regulation of binding,0.011738588,,GO:0051098,,,,,,,,,
0,0.000203856,3,28,GO:0050667,homocysteine metabolic process,0.011776194,,GO:0050667,,,,,,,,,
0,0.000210144,5,16,GO:0006346,DNA methylation-dependent heterochromatin assembly,0.012063571,,GO:0006346,,,,,,,,,
0,0.000212551,2,67,GO:0042558,pteridine-containing compound metabolic process,0.01212596,,GO:0042558,,,,,,,,,
0,0.000235448,2,112,GO:0007294;GO:0030716;GO:0030706,oocyte fate determination,0.013349312,,GO:0007294,GO:0030716,GO:0030706,,,,,,,
0,0.000241449,2,95,GO:0035075,response to ecdysone,0.01360559,,GO:0035075,,,,,,,,,
0,0.00024476,2,443,GO:2001252,positive regulation of chromosome organization,0.013708065,,GO:2001252,,,,,,,,,
0,0.000252103,6,981,GO:0010639,negative regulation of organelle organization,0.014033712,,GO:0010639,,,,,,,,,
0,0.000255075,3,101,GO:0009066,aspartate family amino acid metabolic process,0.014113617,,GO:0009066,,,,,,,,,
0,0.000264283,3,982,GO:0008406;GO:0045137,development of primary sexual characteristics,0.014535592,,GO:0008406,GO:0045137,,,,,,,,
0,0.0002669,2,2576,GO:0007281;GO:0007292;GO:0048477,germ cell development,0.014592117,,GO:0007281,GO:0007292,GO:0048477,,,,,,,
0,0.000272334,7,243,GO:0035567,non-canonical Wnt signaling pathway,0.014760146,,GO:0035567,,,,,,,,,
0,0.000274721,2,192,GO:0048566,embryonic digestive tract development,0.014760146,,GO:0048566,,,,,,,,,
0,0.000274794,2,113,GO:1900087;GO:1902808,positive regulation of cell cycle G1/S phase transition,0.014760146,,GO:1900087,GO:1902808,,,,,,,,
